SMILES,xtbS1,xtbT1
c1ccccc1,5.173,5.181
c1ccc2ccccc2c1,4.321,3.444
c1cc[nH]c1,4.99,4.954
c1c[nH]cn1,5.274,4.995
c1nnc[nH]1,6.129,5.951
c1ccoc1,5.518,4.368
c1cocn1,5.873,4.472
c1nnco1,5.809,5.451
c1ccsc1,5.371,4.347
c1cscn1,5.683,4.328
c1nncs1,5.192,5.192
O=S1(=O)C=CC=C1,3.948,3.501
O=S1(=O)C=CN=C1,2.962,2.958
O=S1(=O)C=NN=C1,2.733,2.733
c1ccncc1,5.231,4.995
c1cnccn1,4.23,4.23
c1cncnc1,4.595,4.595
c1cc2cc3sccc3cc2s1,4.023,3.151
c1cc2sc3cc[nH]c3c2[nH]1,4.356,3.548
c1nncnn1,1.881,1.876
c1cnc2cccnc2c1,3.776,3.776
c1ccc2cnccc2c1,4.411,3.444
c1ccc2ncccc2c1,4.393,3.624
c1cc2ccncc2cn1,4.304,3.549
c1ccc2cnncc2c1,3.584,3.584
c1cc2cnccc2cn1,4.24,3.365
c1cnc2ccncc2c1,4.256,3.645
c1ccc2nccnc2c1,3.504,3.504
c1cnc2cnccc2c1,4.115,3.595
c1cnc2ncccc2c1,3.756,3.756
c1ccc2ncncc2c1,3.893,3.58
c1cc2cc3occc3cc2o1,4.37,3.355
c1cc2cc3[nH]ccc3cc2[nH]1,3.896,2.842
c1cc2sc3ccsc3c2s1,4.356,3.081
c1cc2oc3ccoc3c2o1,4.43,3.081
c1cc2oc3ccsc3c2s1,4.394,3.078
c1cc2[nH]c3cc[nH]c3c2[nH]1,4.296,3.675
c1cc2[nH]c3ccsc3c2s1,4.494,3.238
c1cc2oc3cc[nH]c3c2[nH]1,4.322,3.523
c1cc2sc3ccoc3c2o1,4.463,3.14
c1cc2[nH]c3ccoc3c2o1,4.596,3.261
c1ccc2c(c1)Cc1ccccc1-2,4.688,3.827
c1ccc2c(c1)[nH]c1ccccc12,4.027,3.509
c1ccc2c(c1)oc1ccccc12,4.432,4.039
c1ccc2c(c1)sc1ccccc12,4.124,3.712
O=S1(=O)c2ccccc2-c2ccccc21,4.655,3.885
O=S1(=O)c2ccsc2-c2sccc21,3.758,2.717
O=S1(=O)C=Cc2cc3c(cc21)C=CS3(=O)=O,4.127,3.213
c1ccc2cc3ccccc3cc2c1,3.515,2.337
c1ccc2nsnc2c1,4.557,3.286
c1ccc2nc3ccccc3cc2c1,3.619,2.549
c1ccc2nc3ccccc3nc2c1,2.837,2.577
c1cc2cc3cnccc3cc2cn1,3.503,2.327
c1cc2sccc2s1,4.87,3.505
c1cc2ccc3cccc4ccc(c1)c2c34,3.777,2.781
c1ccc2c(c1)ccc1ccccc12,3.982,3.555
O=C1c2ccccc2-c2ccccc21,2.909,2.612
c1ccc2c(c1)c1ccccc1c1ccccc21,3.959,3.937
c1ccc2c(c1)ccc1cccnc12,4.029,3.545
c1ccc2c(c1)cnc1ccccc12,4.019,3.674
c1cnc2c(c1)ccc1cccnc12,4.153,3.62
c1ccc2c(c1)nnc1ccccc12,2.733,2.733
c1ccc2c(c1)ccc1ncccc12,4.022,3.588
c1cnc2ccc3ncccc3c2c1,4.134,3.718
c1cnc2c(c1)cnc1ccccc12,4.082,3.759
c1cnc2c(c1)ccc1ncccc12,4.144,3.67
c1cc2cc3ccncc3cc2cn1,3.561,2.376
c1ccc2cc3cnccc3cc2c1,3.493,2.336
c1cnc2cc3cccnc3cc2c1,3.652,2.483
c1cnc2ccc3ccncc3c2c1,4.111,3.626
c1ccc2cc3ncccc3cc2c1,3.514,2.38
c1cnc2cc3ncccc3cc2c1,3.654,2.486
c1cc2occc2o1,4.948,3.488
c1cc2sccc2o1,4.955,3.52
c1cc2nnsc2cn1,4.033,3.461
c1nncc2nsnc12,3.66,3.66
c1ccc2sncc2c1,4.51,3.663
c1ccc2snnc2c1,4.148,3.642
c1nncc2snnc12,3.739,3.739
c1cc2cnsc2cn1,4.429,3.476
c1nncc2sncc12,3.931,3.665
c1cc2nsnc2cn1,4.555,3.309
c1ccc2cscc2c1,3.607,2.345
c1cnc2cscc2n1,3.189,2.2
c1ccc2nonc2c1,3.905,2.607
c1nncc2nonc12,2.779,2.779
c1cc2nonc2cn1,3.86,2.63
c1cc2nnoc2cn1,4.383,3.464
c1ccc2oncc2c1,4.675,4.06
c1ccc2onnc2c1,4.384,3.637
c1nncc2onnc12,3.386,3.386
c1cc2cnoc2cn1,4.762,3.866
c1nncc2oncc12,3.738,3.738
c1ccc2c(c1)c1ccccc1c1ncccc21,4.007,3.88
c1ccc2c(c1)c1ccccc1c1nccnc21,3.879,3.643
c1cc2nnc3cccc4nnc(c1)c2c34,2.088,2.088
c1cc2ccc3cccc4ncc(c1)c2c34,3.784,2.808
c1cnc2cscc2c1,3.467,2.332
c1cc2cscc2cn1,3.558,2.353
c1nncc2cscc12,3.555,2.661
c1ncc2cscc2n1,3.391,2.323
c1ccc2cocc2c1,3.664,2.301
c1cnc2cocc2n1,3.215,2.101
c1cnc2cocc2c1,3.503,2.262
c1cc2cocc2cn1,3.631,2.276
c1nncc2cocc12,3.326,2.565
c1ncc2cocc2n1,3.462,2.226
c1cc2cnc3cccc4cnc(c1)c2c43,3.802,2.905
c1cc2cnc3cccc4ncc(c1)c2c34,3.764,2.904
c1cc2ccc3ccnc4ccc(c1)c2c34,3.811,2.859
c1cc2ccc3nccc4ccc(n1)c2c43,3.822,2.932
c1cc2ccc3ccnc4ccc(n1)c2c34,3.855,2.983
c1nc2ccc3ncnc4ccc(n1)c2c34,3.163,3.163
c1ccc2cc3nsnc3cc2c1,3.356,2.059
c1cc2cc3nsnc3cc2cn1,3.402,2.115
c1nncc2cc3nsnc3cc12,3.417,2.381
c1ccc2cc3nonc3cc2c1,2.703,1.414
c1cc2cc3nonc3cc2cn1,2.821,1.473
c1nncc2cc3nonc3cc12,2.891,1.726
c1ccc2cc3sncc3cc2c1,3.662,2.654
c1cc2cc3cnsc3cc2cn1,3.538,2.567
c1nncc2cc3sncc3cc12,3.526,2.713
c1ccc2cc3snnc3cc2c1,3.658,2.613
c1cc2cc3nnsc3cc2cn1,3.628,2.563
c1nncc2cc3snnc3cc12,3.461,2.793
c1ccc2cc3oncc3cc2c1,3.844,2.809
c1cc2cc3cnoc3cc2cn1,3.829,2.776
c1nncc2cc3oncc3cc12,3.466,3.128
c1ccc2cc3onnc3cc2c1,3.513,2.603
c1cc2cc3nnoc3cc2cn1,3.538,2.58
c1nncc2cc3onnc3cc12,3.326,2.972
c1c2c(cc3nsnc13)N=S=N2,3.255,1.808
Cn1c(=O)c2ccc3c(=O)n(C)c(=O)c4ccc(c1=O)c2c34,3.491,2.495
c1nc2scnc2s1,4.597,3.307
Cn1c(=O)c2ccc3c4ccc5c(=O)n(C)c(=O)c6ccc(c7ccc(c1=O)c2c37)c4c56,2.321,1.715
CC1(C)c2ccsc2-c2sccc21,3.761,2.566
CC1(C)c2ncsc2-c2scnc21,3.672,2.492
c1nc2[nH]c3ncsc3c2s1,4.384,3.145
O=C1c2ccccc2C(=O)c2ccccc21,2.903,2.903
c1ccc2cc3cc4ccccc4cc3cc2c1,2.836,1.654
c1ccc2cccc-2cc1,1.62,1.352
O=C1C=CC(=O)C=C1,1.974,1.974
O=C1C=CC(=O)c2ccccc21,2.441,2.441
